Hourly measurement data supplied by UK-air on 03/03/2025,,,,,
All Data GMT hour ending,,,,,
Site Name,,Edinburgh Nicolson Street,,,
Latitude,,55.94476,,,
Longitude,,-3.183991,,,
Site Type,,Urban Traffic,,,
Zone,,Central Scotland,,,
Agglomeration,,Edinburgh Urban Area,,,
Local Authority,,Edinburgh,,,
Date,Time,Nitrogen dioxide,Sulphur dioxide,PM2.5 particulate matter (Hourly measured),PM10 particulate matter (Hourly measured)
22/02/2025,10:00:00,12.6225,1.59654,5.472,10.7
22/02/2025,11:00:00,8.22375,1.72959,5.472,11.7
22/02/2025,12:00:00,9.5625,1.72959,4.906,10.6
22/02/2025,13:00:00,9.37125,2.12872,4.34,8.6
22/02/2025,14:00:00,20.46375,1.72959,4.34,8.5
22/02/2025,15:00:00,9.37125,1.79611,4.623,9
22/02/2025,16:00:00,9.5625,1.66306,4.528,9.5
22/02/2025,17:00:00,14.72625,1.66306,3.396,6.5
22/02/2025,18:00:00,22.5675,1.59654,1.981,3.5
22/02/2025,19:00:00,23.3325,1.59654,2.925,5.1
22/02/2025,20:00:00,21.0375,1.72959,3.962,7.1
22/02/2025,21:00:00,45.9,1.92915,4.245,7.3
22/02/2025,22:00:00,13.77,2.0622,5.283,8.6
22/02/2025,23:00:00,10.3275,2.12872,5,8.9
22/02/2025,24:00:00,14.34375,2.32829,5.189,9.3
23/02/2025,01:00:00,12.43125,2.04002,5.472,9.5
23/02/2025,02:00:00,3.4425,1.24175,5.566,9.6
23/02/2025,03:00:00,4.2075,1.72959,5.377,9.1
23/02/2025,04:00:00,2.48625,1.59654,5,8.8
23/02/2025,05:00:00,0.95625,1.39697,3.585,6.4
23/02/2025,06:00:00,1.33875,1.72959,4.245,7.2
23/02/2025,07:00:00,2.10375,1.86263,3.962,7.3
23/02/2025,08:00:00,4.9725,1.79611,3.585,6.4
23/02/2025,09:00:00,3.825,1.79611,1.604,3
23/02/2025,10:00:00,3.06,1.86263,1.887,3.8
23/02/2025,11:00:00,3.25125,1.92915,1.698,3.6
23/02/2025,12:00:00,7.2675,1.92915,1.132,2.2
23/02/2025,13:00:00,8.415,2.0622,0.472,1.4
23/02/2025,14:00:00,6.31125,2.0622,0.377,0.7
23/02/2025,15:00:00,8.415,2.12872,0.566,1
23/02/2025,16:00:00,7.45875,1.92915,0.377,0.6
23/02/2025,17:00:00,8.60625,1.99568,1.792,2.9
23/02/2025,18:00:00,7.65,1.99568,4.057,6.8
23/02/2025,19:00:00,13.96125,2.19524,4.434,7.2
23/02/2025,20:00:00,5.355,2.0622,5,7.8
23/02/2025,21:00:00,8.0325,1.66306,5.849,8.9
23/02/2025,22:00:00,7.84125,1.86263,5,7.6
23/02/2025,23:00:00,4.9725,1.99568,7.359,12.6
23/02/2025,24:00:00,3.825,1.86263,8.019,13.8
24/02/2025,01:00:00,2.48625,1.77393,8.019,13
24/02/2025,02:00:00,1.1475,1.95133,8.302,13.4
24/02/2025,03:00:00,0.765,1.86263,7.17,11.6
24/02/2025,04:00:00,0.3825,1.92915,7.359,11.6
24/02/2025,05:00:00,1.53,2.0622,9.434,17.2
24/02/2025,06:00:00,4.39875,2.0622,8.208,13.9
24/02/2025,07:00:00,4.39875,1.92915,7.642,13
24/02/2025,08:00:00,11.475,1.79611,5.943,10.2
24/02/2025,09:00:00,17.9775,1.59654,6.698,13.4
24/02/2025,10:00:00,13.96125,1.66306,8.019,15.8
24/02/2025,11:00:00,18.7425,1.86263,6.792,13.4
24/02/2025,12:00:00,9.5625,2.12872,6.321,12.5
24/02/2025,13:00:00,11.8575,1.92915,5.943,12.2
24/02/2025,14:00:00,11.475,1.66306,6.509,13.5
24/02/2025,15:00:00,20.2725,1.86263,6.698,14.7
24/02/2025,16:00:00,14.535,1.66306,6.792,13.5
24/02/2025,17:00:00,20.2725,1.92915,6.981,14.6
24/02/2025,18:00:00,26.96625,1.86263,6.792,14.3
24/02/2025,19:00:00,26.775,1.99568,7.17,13.8
24/02/2025,20:00:00,15.87375,1.59654,1.509,2.2
24/02/2025,21:00:00,19.69875,1.79611,1.981,2.8
24/02/2025,22:00:00,17.595,1.99568,2.642,3.7
24/02/2025,23:00:00,13.77,2.26177,2.17,3.8
24/02/2025,24:00:00,12.43125,1.99568,2.359,4.4
25/02/2025,01:00:00,4.78125,1.77393,2.17,3.9
25/02/2025,02:00:00,2.48625,1.77393,2.736,5.8
25/02/2025,03:00:00,2.6775,1.79611,3.019,6.2
25/02/2025,04:00:00,1.33875,1.79611,3.208,6.5
25/02/2025,05:00:00,1.72125,1.92915,3.302,6.2
25/02/2025,06:00:00,4.01625,1.79611,3.019,5.7
25/02/2025,07:00:00,6.885,1.79611,3.396,6.5
25/02/2025,08:00:00,15.87375,1.72959,4.057,8.8
25/02/2025,09:00:00,11.66625,1.66306,4.528,10.1
25/02/2025,10:00:00,19.5075,1.66306,4.434,10
25/02/2025,11:00:00,18.36,1.72959,3.208,7.1
25/02/2025,12:00:00,23.14125,1.79611,1.981,5.3
25/02/2025,13:00:00,21.0375,1.79611,2.83,7.5
25/02/2025,14:00:00,29.64375,1.72959,3.396,7.4
25/02/2025,15:00:00,36.91125,1.79611,3.019,7
25/02/2025,16:00:00,25.6275,1.33045,3.019,6.3
25/02/2025,17:00:00,16.25625,1.4635,4.151,8.8
25/02/2025,18:00:00,26.20125,1.59654,3.868,8.8
25/02/2025,19:00:00,29.26125,1.79611,3.774,7.7
25/02/2025,20:00:00,32.5125,1.72959,3.679,7.5
25/02/2025,21:00:00,31.17375,1.33045,3.491,6
25/02/2025,22:00:00,20.08125,1.86263,3.208,6.7
25/02/2025,23:00:00,19.69875,1.59654,3.491,7.3
25/02/2025,24:00:00,16.065,1.72959,4.151,9.8
26/02/2025,01:00:00,14.72625,1.77393,3.491,7.5
26/02/2025,02:00:00,3.63375,1.59654,3.396,6.8
26/02/2025,03:00:00,3.825,1.4635,3.302,6.7
26/02/2025,04:00:00,5.16375,1.39697,3.302,7.4
26/02/2025,05:00:00,8.7975,1.39697,2.83,5.6
26/02/2025,06:00:00,17.2125,1.72959,2.925,5.1
26/02/2025,07:00:00,33.46875,1.72959,3.208,5.8
26/02/2025,08:00:00,31.365,1.92915,3.113,5.4
26/02/2025,09:00:00,40.545,1.86263,3.962,6.7
26/02/2025,10:00:00,No data,1.86263,5.283,9.5
26/02/2025,11:00:00,No data,1.59654,3.585,5.7
26/02/2025,12:00:00,No data,1.92915,1.698,3.4
26/02/2025,13:00:00,34.99875,No data,3.113,5
26/02/2025,14:00:00,14.1525,No data,No data,No data
26/02/2025,15:00:00,9.945,No data,1.038,1.8
26/02/2025,16:00:00,10.51875,No data,1.132,1.9
26/02/2025,17:00:00,19.125,5.94268,1.415,2.4
26/02/2025,18:00:00,22.95,4.52353,1.792,3.3
26/02/2025,19:00:00,38.05875,1.19741,2.736,4.1
26/02/2025,20:00:00,52.4025,1.53002,6.604,9.4
26/02/2025,21:00:00,57.56625,1.66306,7.736,10.1
26/02/2025,22:00:00,55.4625,1.99568,7.642,10.1
26/02/2025,23:00:00,47.62125,1.99568,7.736,12.3
26/02/2025,24:00:00,40.73625,1.92915,6.698,8.8
27/02/2025,01:00:00,36.52875,2.04002,4.623,6.4
27/02/2025,02:00:00,22.37625,2.48351,3.019,4.2
27/02/2025,03:00:00,13.57875,2.32829,2.075,3.2
27/02/2025,04:00:00,21.8025,2.32829,1.792,2.9
27/02/2025,05:00:00,22.5675,2.26177,1.792,2.8
27/02/2025,06:00:00,29.64375,2.79395,1.792,3.4
27/02/2025,07:00:00,30.2175,2.12872,3.774,5.6
27/02/2025,08:00:00,48.195,1.99568,2.547,5
27/02/2025,09:00:00,45.70875,2.12872,2.83,6
27/02/2025,10:00:00,46.665,2.46133,3.679,9.6
27/02/2025,11:00:00,47.23875,2.12872,4.528,11
27/02/2025,12:00:00,45.32625,2.12872,4.623,14.5
27/02/2025,13:00:00,41.31,1.92915,4.151,12.4
27/02/2025,14:00:00,40.1625,1.59654,4.623,13.3
27/02/2025,15:00:00,45.32625,1.79611,3.962,12.3
27/02/2025,16:00:00,41.50125,1.59654,3.962,10.5
27/02/2025,17:00:00,44.56125,1.92915,4.717,13
27/02/2025,18:00:00,38.25,1.86263,3.868,9.5
27/02/2025,19:00:00,44.94375,1.79611,4.151,8.3
27/02/2025,20:00:00,46.47375,1.53002,4.151,7.2
27/02/2025,21:00:00,38.6325,1.53002,3.962,6.4
27/02/2025,22:00:00,33.46875,1.72959,4.057,6.7
27/02/2025,23:00:00,32.70375,1.53002,3.774,7.2
27/02/2025,24:00:00,30.02625,1.19741,4.151,7.7
28/02/2025,01:00:00,15.49125,0.88697,3.774,7.4
28/02/2025,02:00:00,14.72625,0.79827,3.585,7.3
28/02/2025,03:00:00,8.60625,1.06436,3.208,6.8
28/02/2025,04:00:00,15.49125,1.19741,3.113,6.1
28/02/2025,05:00:00,23.14125,1.53002,3.302,6.1
28/02/2025,06:00:00,20.08125,1.53002,2.925,5.6
28/02/2025,07:00:00,39.015,1.59654,2.925,4.9
28/02/2025,08:00:00,66.9375,1.79611,3.962,5.9
28/02/2025,09:00:00,64.6425,1.92915,4.623,7.2
28/02/2025,10:00:00,43.41375,1.4635,4.623,7.5
28/02/2025,11:00:00,50.1075,1.4635,5,9.2
28/02/2025,12:00:00,41.31,1.79611,6.132,14.6
28/02/2025,13:00:00,17.9775,1.26393,2.736,10.8
28/02/2025,14:00:00,17.595,1.33045,2.359,7.2
28/02/2025,15:00:00,23.52375,1.33045,2.453,6.1
28/02/2025,16:00:00,21.42,1.26393,3.019,5.7
28/02/2025,17:00:00,21.61125,1.33045,2.925,5.7
28/02/2025,18:00:00,22.185,1.4635,4.151,7.1
28/02/2025,19:00:00,23.14125,1.26393,5.66,8.3
28/02/2025,20:00:00,17.595,1.19741,5.283,7.4
28/02/2025,21:00:00,16.4475,1.39697,5.472,7.8
28/02/2025,22:00:00,16.63875,1.53002,5.566,7.2
28/02/2025,23:00:00,14.34375,1.53002,4.906,6.9
28/02/2025,24:00:00,12.6225,1.26393,4.434,6.6
,,,,,
,,,,,
,,,,,
End,,,,,
